assertion_id,CPI_baseline_only,nonportability_score_baseline_only,CPI_tier_baseline_only,included_features,excluded_features_due_to_leakage
1325231,16.9231,83.0769,severe_non_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
1074440,23.0769,76.9231,severe_non_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
1027323,64.0,36.0,intermediate_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
1766367,13.8462,86.1538,severe_non_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
1395670,33.8462,66.1538,low_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
1427034,43.0769,56.9231,low_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
1070395,43.0769,56.9231,low_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
427946,33.8462,66.1538,low_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
871731,43.0769,56.9231,low_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
519365,43.0769,56.9231,low_portability,evidence_collision_index;regime_membership_count;single_model_repair_required;is_unanchored_assertion_state;is_disease_model_collision;is_penetrance_boundary;is_ancestry_concentrated;regime_tension_class;baseline_review_category;number_submitters_2023-01;allele_anchoring_state;is_canonical_monogenic;curation_tier,classification_change;condition_label_change;number_submitters_2026-04;plp_destabilized;review_status_2026-04;review_status_change;review_weakened
