assertion_id,domain,gene,baseline_condition_proxy,followup_condition_proxy,baseline_env_proxy,followup_env_proxy,disease_architecture_regime,VCEP_covered_gene,VCEP_or_CSpec_resource,cab_balanced_direct_use_allowed,disease_specific_expert_review_required,population_or_penetrance_review_required,external_proxy_agreement_label
CANCER_855921,hereditary_cancer,BRCA1,Hereditary breast ovarian cancer syndrome,Hereditary breast ovarian cancer syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CM_264512,cardiomyopathy,DSP,,Cardiovascular phenotype;Arrhythmogenic cardiomyopathy with wooly hair and keratoderma;Arrhythmogenic right ventricular dysplasia 8;Familial isolated arrhythmogenic right ventricular dysplasia,ARVC/ACM,ARVC/ACM,structural_functional_overlap,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,False,True,False,external_proxy_requires_disease_specific_interpretation
CM_1333564,cardiomyopathy,MYH7,,Hypertrophic cardiomyopathy 1;not provided,HCM,HCM,nonspecific_underresolved,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,True,False,False,external_proxy_agrees_direct_use
ARR_456904,inherited_arrhythmia,KCNH2,long qt syndrome,long qt syndrome,LQTS,LQTS,syndrome_organ_boundary,True,ClinGen Potassium Channel Arrhythmia VCEP,True,False,False,external_proxy_agrees_direct_use
CANCER_89186,hereditary_cancer,MSH6,"Hereditary cancer-predisposing syndrome;not provided;Hereditary nonpolyposis colorectal neoplasms;Colorectal cancer, hereditary nonpolyposis, type 5",Hereditary cancer-predisposing syndrome;not provided;Hereditary nonpolyposis colorectal neoplasms;Lynch syndrome 5;Endometrial carcinoma,colorectal cancer / polyposis,Lynch syndrome / mismatch repair cancer predisposition,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_371473,hereditary_cancer,ATM,Ataxia-telangiectasia syndrome,Ataxia-telangiectasia syndrome,syndromic cancer predisposition,syndromic cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,True,external_proxy_agrees_direct_use
CANCER_479358,hereditary_cancer,BRCA2,"Hereditary cancer-predisposing syndrome;Breast-ovarian cancer, familial, susceptibility to, 2","Hereditary cancer-predisposing syndrome;Breast-ovarian cancer, familial, susceptibility to, 2",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_54839,hereditary_cancer,BRCA1,"Breast-ovarian cancer, familial, susceptibility to, 1;Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome","Breast-ovarian cancer, familial, susceptibility to, 1;Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1456201,hereditary_cancer,APC,Familial adenomatous polyposis 1,Familial adenomatous polyposis 1,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_38178,hereditary_cancer,BRCA2,"Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome;Malignant tumor of breast","Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome;Malignant tumor of breast",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1353173,hereditary_cancer,MSH2,Hereditary nonpolyposis colorectal neoplasms,Hereditary nonpolyposis colorectal neoplasms,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_950421,hereditary_cancer,BRCA2,Hereditary breast ovarian cancer syndrome,Hereditary breast ovarian cancer syndrome;Familial cancer of breast;Hereditary cancer-predisposing syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_140803,hereditary_cancer,CDH1,Hereditary cancer-predisposing syndrome;not provided;Hereditary diffuse gastric adenocarcinoma;Breast lobular carcinoma,Hereditary cancer-predisposing syndrome;not provided;Hereditary diffuse gastric adenocarcinoma;CDH1-related diffuse gastric and lobular breast cancer syndrome,gastric cancer predisposition,gastric cancer predisposition,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
